"tx_hn_ind_postal_code","d_completed","cd_regio"
"3012","2020-04-08","VLA"
"8720","2020-04-08","VLA"
"3201","2020-04-08","VLA"
"8340","2020-04-08","VLA"
"2100","2020-04-08","VLA"
"1745","2020-04-08","VLA"
"9700","2020-04-08","VLA"
"8880","2020-04-08","VLA"
"2560","2020-04-08","VLA"
"8720","2020-04-08","VLA"
"8700","2020-04-08","VLA"
"2550","2020-04-08","VLA"
"3630","2020-04-08","VLA"
"8957","2020-04-08","VLA"
"8860","2020-04-08","VLA"
"3270","2020-04-08","VLA"
"8870","2020-04-08","VLA"
"8755","2020-04-08","VLA"
"1740","2020-04-08","VLA"
"2060","2020-04-08","VLA"
"1740","2020-04-08","VLA"
"1670","2020-04-08","VLA"
"8760","2020-04-08","VLA"
"2440","2020-04-08","VLA"
"8800","2020-04-08","VLA"
"8630","2020-04-08","VLA"
"8430","2020-04-08","VLA"
"2160","2020-04-08","VLA"
"1780","2020-04-08","VLA"
"3650","2020-04-08","VLA"
"3460","2020-04-08","VLA"
"2381","2020-04-08","VLA"
"9420","2020-04-08","VLA"
"8620","2020-04-08","VLA"
"3520","2020-04-08","VLA"
"1703","2020-04-08","VLA"
"2220","2020-04-08","VLA"
"2222","2020-04-08","VLA"
"8780","2020-04-08","VLA"
"8972","2020-04-08","VLA"
"3550","2020-04-08","VLA"
"2940","2020-04-08","VLA"
"1070","2020-04-08","BRU"
"3590","2020-04-08","VLA"
"9260","2020-04-08","VLA"
"8870","2020-04-08","VLA"
"3220","2020-04-08","VLA"
"2100","2020-04-08","VLA"
"2960","2020-04-08","VLA"
"2920","2020-04-08","VLA"
"2400","2020-04-08","VLA"
"1930","2020-04-08","VLA"
"8790","2020-04-08","VLA"
"8940","2020-04-08","VLA"
"3530","2020-04-08","VLA"
"3210","2020-04-08","VLA"
"7334","2020-04-08","WAL"
"2060","2020-04-08","VLA"
"8760","2020-04-08","VLA"
"8820","2020-04-08","VLA"
"8300","2020-04-08","VLA"
"8890","2020-04-08","VLA"
"8750","2020-04-08","VLA"
"8400","2020-04-08","VLA"
"8790","2020-04-08","VLA"
"3800","2020-04-08","VLA"
"8870","2020-04-08","VLA"
"2018","2020-04-08","VLA"
"8930","2020-04-08","VLA"
"8800","2020-04-08","VLA"
"1500","2020-04-08","VLA"
"2470","2020-04-08","VLA"
"9000","2020-04-08","VLA"
"3001","2020-04-08","VLA"
"1731","2020-04-08","VLA"
"9300","2020-04-08","VLA"
"2920","2020-04-08","VLA"
"3630","2020-04-08","VLA"
"1540","2020-04-08","VLA"
"2861","2020-04-08","VLA"
"2360","2020-04-08","VLA"
"3200","2020-04-08","VLA"
"2230","2020-04-08","VLA"
"8750","2020-04-09","VLA"
"8770","2020-04-09","VLA"
"1400","2020-04-09","WAL"
"8700","2020-04-09","VLA"
"8710","2020-04-09","VLA"
"1420","2020-04-09","WAL"
"9255","2020-04-09","VLA"
"7830","2020-04-09","WAL"
"8800","2020-04-09","VLA"
"1472","2020-04-09","WAL"
"1880","2020-04-09","VLA"
"1650","2020-04-09","VLA"
"9230","2020-04-09","VLA"
"9070","2020-04-09","VLA"
"9070","2020-04-09","VLA"
"8310","2020-04-09","VLA"
"1780","2020-04-09","VLA"
"2310","2020-04-09","VLA"
"1401","2020-04-09","WAL"
"9260","2020-04-09","VLA"
"1300","2020-04-09","WAL"
"9070","2020-04-09","VLA"
"3740","2020-04-09","VLA"
"1700","2020-04-09","VLA"
"9620","2020-04-09","VLA"
"9080","2020-04-09","VLA"
"3150","2020-04-09","VLA"
"9080","2020-04-09","VLA"
"9160","2020-04-10","VLA"
"9520","2020-04-10","VLA"
"1780","2020-04-10","VLA"
"9820","2020-04-10","VLA"
"9270","2020-04-10","VLA"
"9290","2020-04-10","VLA"
"3560","2020-04-10","VLA"
"9170","2020-04-10","VLA"
"9185","2020-04-10","VLA"
"3500","2020-04-10","VLA"
"9270","2020-04-10","VLA"
"1370","2020-04-10","WAL"
"9960","2020-04-10","VLA"
"9070","2020-04-10","VLA"
"9300","2020-04-10","VLA"
"8800","2020-04-13","VLA"
"2230","2020-04-13","VLA"
"2470","2020-04-13","VLA"
"3840","2020-04-13","VLA"
"9500","2020-04-13","VLA"
"9200","2020-04-13","VLA"
"9041","2020-04-13","VLA"
"9260","2020-04-13","VLA"
"8800","2020-04-13","VLA"
"6110","2020-04-13","WAL"
"1780","2020-04-13","VLA"
"2060","2020-04-13","VLA"
"9820","2020-04-14","VLA"
"1650","2020-04-14","VLA"
"9260","2020-04-14","VLA"
"9070","2020-04-14","VLA"
"2640","2020-04-14","VLA"
"8930","2020-04-14","VLA"
"2360","2020-04-15","VLA"
"3220","2020-04-15","VLA"
"2440","2020-04-15","VLA"
"2600","2020-04-15","VLA"
"2560","2020-04-15","VLA"
"1480","2020-04-15","WAL"
"3020","2020-04-15","VLA"
"2020","2020-04-15","VLA"
"2400","2020-04-15","VLA"
"2470","2020-04-15","VLA"
"9170","2020-04-15","VLA"
"9880","2020-04-15","VLA"
"6110","2020-04-15","WAL"
"2440","2020-04-15","VLA"
"3500","2020-04-15","VLA"
"9140","2020-04-15","VLA"
"1930","2020-04-15","VLA"
"8860","2020-04-15","VLA"
"3120","2020-04-15","VLA"
"1745","2020-04-15","VLA"
"8840","2020-04-15","VLA"
"2060","2020-04-15","VLA"
"9940","2020-04-15","VLA"
"2300","2020-04-15","VLA"
"9700","2020-04-15","VLA"
"2400","2020-04-15","VLA"
"8430","2020-04-15","VLA"
"2360","2020-04-15","VLA"
"9255","2020-04-15","VLA"
"3800","2020-04-15","VLA"
"2460","2020-04-15","VLA"
"9960","2020-04-15","VLA"
"8400","2020-04-15","VLA"
"9690","2020-04-15","VLA"
"3520","2020-04-16","VLA"
"3582","2020-04-16","VLA"
"3550","2020-04-16","VLA"
"3970","2020-04-16","VLA"
"3530","2020-04-16","VLA"
"2400","2020-04-16","VLA"
"3550","2020-04-16","VLA"
"3550","2020-04-16","VLA"
"1300","2020-04-17","WAL"
"3971","2020-04-17","VLA"
"9170","2020-04-17","VLA"
"8020","2020-04-17","VLA"
"3970","2020-04-17","VLA"
"3550","2020-04-18","VLA"
"8300","2020-04-18","VLA"
"8340","2020-04-18","VLA"
"2300","2020-04-19","VLA"
"2560","2020-04-20","VLA"
"2360","2020-04-20","VLA"
"3971","2020-04-20","VLA"
"3800","2020-04-20","VLA"
"6110","2020-04-20","WAL"
"9420","2020-04-20","VLA"
"3582","2020-04-20","VLA"
"1800","2020-04-20","VLA"
"8020","2020-04-20","VLA"
"2470","2020-04-20","VLA"
"9320","2020-04-20","VLA"
"8870","2020-04-20","VLA"
"2812","2020-04-20","VLA"
"2440","2020-04-20","VLA"
"1930","2020-04-20","VLA"
"3980","2020-04-20","VLA"
"3530","2020-04-20","VLA"
"2920","2020-04-20","VLA"
"1745","2020-04-20","VLA"
"2020","2020-04-20","VLA"
"8730","2020-04-20","VLA"
"2440","2020-04-20","VLA"
"2400","2020-04-20","VLA"
"2060","2020-04-20","VLA"
"1540","2020-04-20","VLA"
"3071","2020-04-20","VLA"
